accession,bioproject,biosample,organism_name,group,environment,intraspecific_name,assembly_level,seq_rel_date,project,ftp_path
GCA_002306775.1,PRJNA348753,SAMN06453171,Alphaproteobacteria bacterium UBA1330,Alphaproteobacteria,Marine,UBA1330,Scaffold,9/15/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/306/775/GCA_002306775.1_ASM230677v1
GCA_002306855.1,PRJNA348753,SAMN06453716,Alphaproteobacteria bacterium UBA1326,Alphaproteobacteria,Marine,UBA1326,Scaffold,9/15/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/306/855/GCA_002306855.1_ASM230685v1
GCA_002306905.1,PRJNA348753,SAMN06453718,Alphaproteobacteria bacterium UBA1324,Alphaproteobacteria,Marine,UBA1324,Scaffold,9/15/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/306/905/GCA_002306905.1_ASM230690v1
GCA_002311015.1,PRJNA348753,SAMN06457417,Achromobacter insolitus,Betaproteobacteria,Built Environment,UBA1170,Scaffold,9/19/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/311/015/GCA_002311015.1_ASM231101v1
GCA_002322215.1,PRJNA348753,SAMN06455554,Achromobacter insolitus,Betaproteobacteria,Built Environment,UBA1582,Scaffold,9/21/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/322/215/GCA_002322215.1_ASM232221v1
GCA_002325375.1,PRJNA348753,SAMN06453301,Rhodospirillaceae bacterium UBA1479,Alphaproteobacteria,Marine,UBA1479,Scaffold,9/21/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/325/375/GCA_002325375.1_ASM232537v1
GCA_002331385.1,PRJNA348753,SAMN06450346,Comamonadaceae bacterium UBA2121,Betaproteobacteria,Built Environment,UBA2121,Scaffold,9/21/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/331/385/GCA_002331385.1_ASM233138v1
GCA_002334905.1,PRJNA348753,SAMN06454198,Proteobacteria bacterium UBA2008,Unclassified Proteobacteria,Marine,UBA2008,Scaffold,9/21/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/334/905/GCA_002334905.1_ASM233490v1
GCA_002337315.1,PRJNA348753,SAMN06450782,Sphingobium xenophagum,Alphaproteobacteria,Marine,UBA1921,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/337/315/GCA_002337315.1_ASM233731v1
GCA_002337385.1,PRJNA348753,SAMN06455525,Erythrobacter sp. UBA1916,Alphaproteobacteria,Marine,UBA1916,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/337/385/GCA_002337385.1_ASM233738v1
GCA_002340675.1,PRJNA348753,SAMN06457089,Comamonadaceae bacterium UBA2543,Betaproteobacteria,Marine,UBA2543,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/340/675/GCA_002340675.1_ASM234067v1
GCA_002341085.1,PRJNA348753,SAMN06452965,Sphingobium xenophagum,Alphaproteobacteria,Marine,UBA2525,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/341/085/GCA_002341085.1_ASM234108v1
GCA_002341725.1,PRJNA348753,SAMN06451082,Bradyrhizobium sp. UBA2491,Alphaproteobacteria,Built Environment,UBA2491,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/341/725/GCA_002341725.1_ASM234172v1
GCA_002342145.1,PRJNA348753,SAMN06452795,Burkholderiales bacterium UBA2470,Betaproteobacteria,Freshwater,UBA2470,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/342/145/GCA_002342145.1_ASM234214v1
GCA_002346535.1,PRJNA348753,SAMN06456355,Opitutales bacterium UBA2995,PVC;Verrucomicrobia,Marine,UBA2995,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/346/535/GCA_002346535.1_ASM234653v1
GCA_002347905.1,PRJNA348753,SAMN06453798,Comamonadaceae bacterium UBA2237,Betaproteobacteria,Freshwater,UBA2237,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/905/GCA_002347905.1_ASM234790v1
GCA_002348275.1,PRJNA348753,SAMN06454405,Alphaproteobacteria bacterium UBA2973,Alphaproteobacteria,Marine,UBA2973,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/348/275/GCA_002348275.1_ASM234827v1
GCA_002348365.1,PRJNA348753,SAMN06451907,Alphaproteobacteria bacterium UBA2966,Alphaproteobacteria,Marine,UBA2966,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/348/365/GCA_002348365.1_ASM234836v1
GCA_002348385.1,PRJNA348753,SAMN06451906,Gammaproteobacteria bacterium UBA2965,Gammaproteobacteria,Marine,UBA2965,Scaffold,9/22/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/348/385/GCA_002348385.1_ASM234838v1
GCA_002359255.1,PRJNA348753,SAMN06456280,Rhodospirillaceae bacterium UBA2667,Alphaproteobacteria,Marine,UBA2667,Scaffold,9/26/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/359/255/GCA_002359255.1_ASM235925v1
GCA_002359555.1,PRJNA348753,SAMN06452819,Hylemonella sp. UBA2652,Betaproteobacteria,Freshwater,UBA2652,Scaffold,9/26/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/359/555/GCA_002359555.1_ASM235955v1
GCA_002359635.1,PRJNA348753,SAMN06453360,Burkholderiales bacterium UBA2647,Betaproteobacteria,Freshwater,UBA2647,Scaffold,9/26/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/359/635/GCA_002359635.1_ASM235963v1
GCA_002365775.1,PRJNA348753,SAMN06452675,Betaproteobacteria bacterium UBA3119,Betaproteobacteria,Marine,UBA3119,Scaffold,9/26/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/365/775/GCA_002365775.1_ASM236577v1
GCA_002367635.1,PRJNA348753,SAMN06454660,Betaproteobacteria bacterium UBA3031,Betaproteobacteria,Marine,UBA3031,Scaffold,9/26/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/367/635/GCA_002367635.1_ASM236763v1
GCA_002377485.1,PRJNA348753,SAMN06450560,Alphaproteobacteria bacterium UBA3504,Alphaproteobacteria,Marine,UBA3504,Scaffold,9/27/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/377/485/GCA_002377485.1_ASM237748v1
GCA_002377535.1,PRJNA348753,SAMN06450558,Alphaproteobacteria bacterium UBA3502,Alphaproteobacteria,Marine,UBA3502,Scaffold,9/27/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/377/535/GCA_002377535.1_ASM237753v1
GCA_002378125.1,PRJNA348753,SAMN06453467,Rhodospirillaceae bacterium UBA3470,Alphaproteobacteria,Marine,UBA3470,Scaffold,9/27/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/378/125/GCA_002378125.1_ASM237812v1
GCA_002383745.1,PRJNA348753,SAMN06455021,Betaproteobacteria bacterium UBA4031,Betaproteobacteria,Marine,UBA4031,Scaffold,9/27/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/383/745/GCA_002383745.1_ASM238374v1
GCA_002384805.1,PRJNA348753,SAMN06456267,Advenella kashmirensis,Betaproteobacteria,Hydrocarbon,UBA4006,Scaffold,9/28/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/384/805/GCA_002384805.1_ASM238480v1
GCA_002386465.1,PRJNA348753,SAMN06457688,Burkholderiales bacterium UBA4615,Betaproteobacteria,Freshwater,UBA4615,Scaffold,9/28/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/465/GCA_002386465.1_ASM238646v1
GCA_002390205.1,PRJNA348753,SAMN06451823,Proteobacteria bacterium UBA4457,Unclassified Proteobacteria,Marine,UBA4457,Scaffold,9/28/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/390/205/GCA_002390205.1_ASM239020v1
GCA_002390245.1,PRJNA348753,SAMN06457461,Proteobacteria bacterium UBA4455,Unclassified Proteobacteria,Marine,UBA4455,Scaffold,9/28/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/390/245/GCA_002390245.1_ASM239024v1
GCA_002393305.1,PRJNA348753,SAMN06450411,Rhodospirillaceae bacterium UBA4492,Alphaproteobacteria,Engineered,UBA4492,Contig,9/28/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/305/GCA_002393305.1_ASM239330v1
GCA_002412495.1,PRJNA348753,SAMN06455352,Betaproteobacteria bacterium UBA5216,Betaproteobacteria,Freshwater,UBA5216,Scaffold,10/3/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/495/GCA_002412495.1_ASM241249v1
GCA_002415625.1,PRJNA348753,SAMN06457039,Rhodospirillaceae bacterium UBA5101,Alphaproteobacteria,Marine,UBA5101,Scaffold,10/3/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/415/625/GCA_002415625.1_ASM241562v1
GCA_002422345.1,PRJNA348753,SAMN06453532,Acetobacteraceae bacterium UBA6159,Alphaproteobacteria,Hydrocarbon,UBA6159,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/422/345/GCA_002422345.1_ASM242234v1
GCA_002429885.1,PRJNA348753,SAMN06450386,Achromobacter sp. UBA5986,Betaproteobacteria,Built Environment,UBA5986,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/429/885/GCA_002429885.1_ASM242988v1
GCA_002433075.1,PRJNA348753,SAMN06452352,Latescibacteria bacterium UBA6620,Candidatus Latescibacteria,Marine,UBA6620,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/433/075/GCA_002433075.1_ASM243307v1
GCA_002433205.1,PRJNA348753,SAMN06457120,Alphaproteobacteria bacterium UBA6615,Alphaproteobacteria,Marine,UBA6615,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/433/205/GCA_002433205.1_ASM243320v1
GCA_002433335.1,PRJNA348753,SAMN06452599,Rhodospirillaceae bacterium UBA6608,Alphaproteobacteria,Marine,UBA6608,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/433/335/GCA_002433335.1_ASM243333v1
GCA_002433405.1,PRJNA348753,SAMN06452602,Alphaproteobacteria bacterium UBA6605,Alphaproteobacteria,Marine,UBA6605,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/433/405/GCA_002433405.1_ASM243340v1
GCA_002434595.1,PRJNA348753,SAMN06450461,Alphaproteobacteria bacterium UBA6544,Alphaproteobacteria,Marine,UBA6544,Scaffold,10/4/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/434/595/GCA_002434595.1_ASM243459v1
GCA_002450295.1,PRJNA348753,SAMN06455099,Deltaproteobacteria bacterium UBA6967,Deltaproteobacteria,Marine,UBA6967,Scaffold,10/5/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/450/295/GCA_002450295.1_ASM245029v1
GCA_002450755.1,PRJNA348753,SAMN06457290,Deltaproteobacteria bacterium UBA6930,Deltaproteobacteria,Marine,UBA6930,Scaffold,10/5/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/450/755/GCA_002450755.1_ASM245075v1
GCA_002469795.1,PRJNA348753,SAMN06456151,Candidatus Endolissoclinum sp. UBA7380,Alphaproteobacteria,Marine,UBA7380,Scaffold,10/6/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/469/795/GCA_002469795.1_ASM246979v1
GCA_002471325.1,PRJNA348753,SAMN06454314,Candidatus Endolissoclinum sp. UBA7326,Alphaproteobacteria,Marine,UBA7326,Scaffold,10/6/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/471/325/GCA_002471325.1_ASM247132v1
GCA_002471575.1,PRJNA348753,SAMN06450336,Alphaproteobacteria bacterium UBA7314,Alphaproteobacteria,Marine,UBA7314,Scaffold,10/6/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/471/575/GCA_002471575.1_ASM247157v1
GCA_002484205.1,PRJNA348753,SAMN06454431,Alicycliphilus sp. UBA7619,Betaproteobacteria,Built Environment,UBA7619,Scaffold,10/6/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/484/205/GCA_002484205.1_ASM248420v1
GCA_002500465.1,PRJNA348753,SAMN06455355,Alphaproteobacteria bacterium UBA7893,Alphaproteobacteria,Marine,UBA7893,Scaffold,10/10/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/500/465/GCA_002500465.1_ASM250046v1
GCA_002683655.1,PRJNA391943,SAMN07618660,Deltaproteobacteria bacterium,Deltaproteobacteria,Marine,CPC61,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/683/655/GCA_002683655.1_ASM268365v1
GCA_002684675.1,PRJNA391943,SAMN07618658,Deltaproteobacteria bacterium,Deltaproteobacteria,Marine,CPC295,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/675/GCA_002684675.1_ASM268467v1
GCA_002689605.1,PRJNA391943,SAMN07618923,Filomicrobium sp.,Alphaproteobacteria,Marine,MED665,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/689/605/GCA_002689605.1_ASM268960v1
GCA_002690215.1,PRJNA391943,SAMN07619952,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,ARS1032,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/215/GCA_002690215.1_ASM269021v1
GCA_002690255.1,PRJNA391943,SAMN07619876,Rhodobacteraceae bacterium,Alphaproteobacteria,Marine,ARS1029,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/255/GCA_002690255.1_ASM269025v1
GCA_002690525.1,PRJNA391943,SAMN07620098,SAR324 cluster bacterium,Deltaproteobacteria,Marine,MED745,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/525/GCA_002690525.1_ASM269052v1
GCA_002690685.1,PRJNA391943,SAMN07619511,Nisaea sp.,Alphaproteobacteria,Marine,MED717,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/685/GCA_002690685.1_ASM269068v1
GCA_002690995.1,PRJNA391943,SAMN07619959,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,MED674,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/995/GCA_002690995.1_ASM269099v1
GCA_002691525.1,PRJNA391943,SAMN07620166,Thiotrichales bacterium,Gammaproteobacteria,Marine,MED634,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/691/525/GCA_002691525.1_ASM269152v1
GCA_002691795.1,PRJNA391943,SAMN07620088,SAR116 cluster bacterium,Alphaproteobacteria,Marine,MED585,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/691/795/GCA_002691795.1_ASM269179v1
GCA_002692375.1,PRJNA391943,SAMN07619957,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,MED1079,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/375/GCA_002692375.1_ASM269237v1
GCA_002692905.1,PRJNA391943,SAMN07618308,Alphaproteobacteria bacterium,Alphaproteobacteria,Marine,IN1311,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/905/GCA_002692905.1_ASM269290v1
GCA_002693105.1,PRJNA391943,SAMN07619956,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,EAC712,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/105/GCA_002693105.1_ASM269310v1
GCA_002693245.1,PRJNA391943,SAMN07618135,Acidiferrobacteraceae bacterium,Gammaproteobacteria,Marine,EAC671,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/245/GCA_002693245.1_ASM269324v1
GCA_002694075.1,PRJNA391943,SAMN07619512,Nisaea sp.,Alphaproteobacteria,Marine,IN45,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/694/075/GCA_002694075.1_ASM269407v1
GCA_002695715.1,PRJNA391943,SAMN07619308,Magnetovibrio sp.,Alphaproteobacteria,Marine,EAC64,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/695/715/GCA_002695715.1_ASM269571v1
GCA_002696205.1,PRJNA391943,SAMN07620005,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,EAC36,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/696/205/GCA_002696205.1_ASM269620v1
GCA_002696905.1,PRJNA391943,SAMN07619955,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,EAC123,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/696/905/GCA_002696905.1_ASM269690v1
GCA_002698075.1,PRJNA391943,SAMN07620094,SAR116 cluster bacterium,Alphaproteobacteria,Marine,NAT72,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/698/075/GCA_002698075.1_ASM269807v1
GCA_002699335.1,PRJNA391943,SAMN07619758,Candidatus Poribacteria bacterium,Candidatus Poribacteria,Marine,NAT1,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/699/335/GCA_002699335.1_ASM269933v1
GCA_002701455.1,PRJNA391943,SAMN07619963,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,NAT66,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/701/455/GCA_002701455.1_ASM270145v1
GCA_002702005.1,PRJNA391943,SAMN07619961,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,NAT39,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/702/005/GCA_002702005.1_ASM270200v1
GCA_002702965.1,PRJNA391943,SAMN07619703,Planctomycetaceae bacterium,PVC;Planctomycetes,Marine,NAT155,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/702/965/GCA_002702965.1_ASM270296v1
GCA_002703485.1,PRJNA391943,SAMN07620405,Gammaproteobacteria bacterium,Gammaproteobacteria,Marine,EAC1995,Contig,10/24/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/703/485/GCA_002703485.1_ASM270348v1
GCA_002704205.1,PRJNA391943,SAMN07620013,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,MED821,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/704/205/GCA_002704205.1_ASM270420v1
GCA_002704805.1,PRJNA391943,SAMN07620167,Thiotrichales bacterium,Gammaproteobacteria,Marine,NAT226,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/704/805/GCA_002704805.1_ASM270480v1
GCA_002704915.1,PRJNA391943,SAMN07619607,Parvularcula sp.,Alphaproteobacteria,Marine,NAT21,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/704/915/GCA_002704915.1_ASM270491v1
GCA_002706405.1,PRJNA391943,SAMN07620021,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT42,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/405/GCA_002706405.1_ASM270640v1
GCA_002708305.1,PRJNA391943,SAMN07619983,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT2755,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/708/305/GCA_002708305.1_ASM270830v1
GCA_002709155.1,PRJNA391943,SAMN07619987,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SP147,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/155/GCA_002709155.1_ASM270915v1
GCA_002709445.1,PRJNA391943,SAMN07619312,Magnetovibrio sp.,Alphaproteobacteria,Marine,SP125,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/445/GCA_002709445.1_ASM270944v1
GCA_002709525.1,PRJNA391943,SAMN07619311,Magnetovibrio sp.,Alphaproteobacteria,Marine,SP115,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/525/GCA_002709525.1_ASM270952v1
GCA_002709695.1,PRJNA391943,SAMN07619766,Candidatus Poribacteria bacterium,Candidatus Poribacteria,Marine,SP142,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/695/GCA_002709695.1_ASM270969v1
GCA_002711555.1,PRJNA391943,SAMN07619985,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SP102,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/711/555/GCA_002711555.1_ASM271155v1
GCA_002712335.1,PRJNA391943,SAMN07619981,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT1609,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/712/335/GCA_002712335.1_ASM271233v1
GCA_002712985.1,PRJNA391943,SAMN07619978,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT1449,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/712/985/GCA_002712985.1_ASM271298v1
GCA_002713365.1,PRJNA391943,SAMN07619982,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT177,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/713/365/GCA_002713365.1_ASM271336v1
GCA_002713745.1,PRJNA391943,SAMN07619979,Rhodospirillaceae bacterium,Alphaproteobacteria,Marine,SAT1507,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/713/745/GCA_002713745.1_ASM271374v1
GCA_002714255.1,PRJNA391943,SAMN07618144,Acidiferrobacteraceae bacterium,Gammaproteobacteria,Marine,SAT1331,Contig,10/25/17,Tara Oceans Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/714/255/GCA_002714255.1_ASM271425v1
