accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_002205315.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,PR1,SAMN06819206,PRJna383898,activated sludge,engineered,na,Complete,6.9292,67.4,chromosome:NZ_CP020917.1/CP020917.1,,1,6293,2017-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/205/315/GCA_002205315.1_ASM220531v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/205/315/GCF_002205315.1_ASM220531v1
GCA_003812265.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,PheN1,SAMN10344696,PRJna499159,isolate,isolate,na,Complete,7.01085,67.1,chromosome:NZ_CP033730.1/CP033730.1,,1,5973,2018-11-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/265/GCA_003812265.1_ASM381226v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/265/GCF_003812265.1_ASM381226v1
GCA_003939895.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AD_173,SAMN10249198,PRJna497126,hospital unit,built_environment,na,Scaffold,7.09044,67.3,,RHXL01,150,6491,2018-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/939/895/GCA_003939895.1_ASM393989v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/939/895/GCF_003939895.1_ASM393989v1
GCA_900444675.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NCTC8582,SAMEA3867444,PRJEB6403,Sanger Institute Isolates,isolate,na,Contig,6.56223,67.5,,UFRY01,2,5959,2018-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/444/675/GCA_900444675.1_44257_D01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/444/675/GCF_900444675.1_44257_D01
GCA_001571365.1,Achromobacter denitrificans NBRC 15125,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NBRC 15125,SAMD00046748,PRJDB698,isolate,isolate,na,Contig,6.70025,67.6,,BCTQ01,98,6079,2016-02-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/365/GCA_001571365.1_ASM157136v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/365/GCF_001571365.1_ASM157136v1
GCA_001639685.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AR476-2,SAMN04588820,PRJna316622,isolate,isolate,Manfredi et al. 2015,Scaffold,6.51522,65.1,,LWDT01,57,5944,2016-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/685/GCA_001639685.1_ASM163968v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/685/GCF_001639685.1_ASM163968v1
GCA_001971645.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,DSM 23807,SAMN06174288,PRJna358463,isolate,isolate,na,Complete,6.4927,65.1,chromosome:NZ_CP019325.1/CP019325.1,,1,5629,2017-01-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/645/GCA_001971645.1_ASM197164v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/645/GCF_001971645.1_ASM197164v1
GCA_002209555.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,LMG 6003,SAMN07270367,PRJna391536,isolate,isolate,na,Contig,6.44444,65.1,,NJIF01,29,5830,2017-06-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/555/GCA_002209555.1_ASM220955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/555/GCF_002209555.1_ASM220955v1
GCA_002311015.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA1170,SAMN06457417,PRJna348753,terrestrial metagenome,terrestrial,Parks et al. 2017 nature Micro,Scaffold,6.30929,65,,DBZC01,18,0,2017-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/311/015/GCA_002311015.1_ASM231101v1,
GCA_002322215.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA1582,SAMN06455554,PRJna348753,terrestrial metagenome,terrestrial,Parks et al. 2017 nature Micro,Scaffold,6.22981,64.3,,DCOA01,447,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/322/215/GCA_002322215.1_ASM232221v1,
GCA_003293535.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AB2,SAMN07274545,PRJna391767,isolate,isolate,na, Chromosome,6.43828,65.2,chromosome:NZ_CP022199.1/CP022199.1,,1,5817,2018-07-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/293/535/GCA_003293535.1_ASM329353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/293/535/GCF_003293535.1_ASM329353v1
GCA_900637265.1,Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NCTC13520,SAMEA4384063,PRJEB6403,Sanger Institute Isolates,isolate,na,Complete,6.47248,65.1,chromosome 1:NZ_LR134361.1/LR134361.1,,1,5827,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/265/GCA_900637265.1_50432_C01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/265/GCF_900637265.1_50432_C01
GCA_900496975.1,Achromobacter sp. LMG 30378,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,LMG 30378,SAMEA4780387,PRJEB24293,isolate,isolate,Dumolin et al. 2019,Contig,6.81499,67.2,,UFQC01,105,6269,2019-01-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/975/GCA_900496975.1_LMG_30378,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/975/GCF_900496975.1_LMG_30378
GCA_002429885.1,Achromobacter sp. UBA5986,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA5986,SAMN06450386,PRJna348753,terrestrial metagenome,terrestrial,Parks et al. 2017 nature Micro,Scaffold,4.86435,64.6,,DJBC01,477,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/429/885/GCA_002429885.1_ASM242988v1,
GCA_002966795.1,Achromobacter spanius,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MYb73,SAMN07581413,PRJna400855,c. elegans microbiome,symbiont,na,Complete,6.34021,65.6,chromosome:NZ_CP023270.1/CP023270.1,,1,5637,2018-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/966/795/GCA_002966795.1_ASM296679v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/966/795/GCF_002966795.1_ASM296679v1
GCA_002192695.1,Achromobacter xylosoxidans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B_1,SAMN06009451,PRJna184698,sediment metagenome,terrestrial,na,Contig,7.21241,66.1,,MTLG01,132,6577,2017-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/695/GCA_002192695.1_ASM219269v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/695/GCF_002192695.1_ASM219269v1
GCA_002192705.1,Achromobacter xylosoxidans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,DPB_1,SAMN06009453,PRJna184698,sediment metagenome,terrestrial,na,Contig,7.23396,66.2,,MTLI01,319,6550,2017-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/705/GCA_002192705.1_ASM219270v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/705/GCF_002192705.1_ASM219270v1
GCA_000759655.1,Acidicaldus organivorans,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,DX-1,SAMN02980076,PRJna257903,isolate,isolate,Liu et al. 2016,Scaffold,2.98963,67.5,,JPYW01,376,0,2014-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/655/GCA_000759655.1_ASM75965v1,
GCA_002693245.1,Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,EAC671,SAMN07618135,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,1.91985,53.5,,NZPA01,100,1804,2017-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/245/GCA_002693245.1_ASM269324v1,
GCA_002714255.1,Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,SAT1331,SAMN07618144,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,1.80968,53.4,,PAWW01,65,1666,2017-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/714/255/GCA_002714255.1_ASM271425v1,
GCA_002725185.1,Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,NP97,SAMN07618142,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,3.50956,56.7,,PBQY01,91,3142,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/725/185/GCA_002725185.1_ASM272518v1,
GCA_002725835.1,Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,NP959,SAMN07618141,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,2.15833,52.5,,PBRH01,172,1967,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/725/835/GCA_002725835.1_ASM272583v1,
GCA_002731295.1,Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,NP122,SAMN07618137,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,2.5121,52.1,,PCBE01,126,2325,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/731/295/GCA_002731295.1_ASM273129v1,
GCA_000964365.1,Acidisphaera rubrifaciens HS-AP3,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,HS-AP3,SAMD00036637,PRJDB503,umbrella,isolate,na,Scaffold,3.86227,70.3,,BANB01,1239,3180,2015-03-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/964/365/GCA_000964365.1_ASM96436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/964/365/GCF_000964365.1_ASM96436v1
GCA_003352165.1,Acidisphaera sp. G45-3,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,G45-3,SAMN09005679,PRJna454169,isolate,isolate,na,Complete,4.03761,65.487,chromosome:NZ_CP029176.1/CP029176.1; plasmid unnamed1:NZ_CP029177.1/CP029177.1; plasmid unnamed2:NZ_CP029178.1/CP029178.1; plasmid unnamed3:NZ_CP029179.1/CP029179.1,,4,3633,2018-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/352/165/GCA_003352165.1_ASM335216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/165/GCF_003352165.1_ASM335216v1
GCA_002733395.1,Acidithiobacillus sp.,Bacteria;Proteobacteria;Acidithiobacillia,Proetobacteria,NORP59,SAMN07568873,PRJna391950,subsurface metagenome,subsurface,Tully et al. 2018 ,Contig,3.57802,52.6,,NVVQ01,136,3260,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/395/GCA_002733395.1_ASM273339v1,
GCA_003509065.1,Acidobacteria bacterium,Bacteria;Acidobacteria;unclassified Acidobacteria,Acidobacteria,UBA8106,SAMN08019013,PRJna417962,marine metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,2.56539,47.7,,DODG01,425,2525,2018-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/509/065/GCA_003509065.1_ASM350906v1,
GCA_005789135.1,Acidobacteria bacterium,Bacteria;Acidobacteria;unclassified Acidobacteria,Acidobacteria,F1-20-MAGs103,SAMN11369101,PRJna531348,Lake Fuxian metagenomes,freshwater,na,Contig,4.06971,67.2,,SXZE01,512,0,2019-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/789/135/GCA_005789135.1_ASM578913v1,
GCA_001919365.1,Acidobacteria bacterium 13_1_40CM_2_68_5,Bacteria;Acidobacteria;unclassified Acidobacteria,Acidobacteria,,SAMN04327954,PRJna297196,"meadow soil samples from Angelo, CA ",terrestrial,Butterfield et al. 2016 PeerJ,Scaffold,2.91454,68.1,,MNHS01,208,2216,2016-12-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/365/GCA_001919365.1_ASM191936v1,
GCA_000400995.2,Acidovorax sp. MR-S7,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MR-S7,SAMD00010747,PRJDB715,isolate,isolate,Miura et al. 2013,Scaffold,5.00889,68.3,,BANP01,117,4552,2013-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/995/GCA_000400995.2_ASM40099v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/995/GCF_000400995.2_ASM40099v2
GCA_002384805.1,Advenella kashmirensis,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA4006,SAMN06456267,PRJna348753,hydrocarbon metagenome,engineered,Parks et al. 2017 nature Micro,Scaffold,3.24357,55.5,,DGBK01,340,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/384/805/GCA_002384805.1_ASM238480v1,
GCA_003533245.1,Advenella kashmirensis,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA10707,SAMN08019041,PRJna417962,metagenome,unknown,Parks et al. 2018 nature Biotech GTDB,Scaffold,4.67347,54.8,,DOEK01,47,4353,2018-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/533/245/GCA_003533245.1_ASM353324v1,
GCA_000506985.1,Advenella kashmirensis W13003,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,W13003,SAMN02404614,PRJna228954,isolate,terrestrial,Wang et al. 2014,Scaffold,4.84603,55.1,,AYXT01,12,4405,2013-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/985/GCA_000506985.1_Advkasv1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/506/985/GCF_000506985.1_Advkasv1.0
GCA_000219915.3,Advenella kashmirensis WT001,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,WT001,SAMN01940915,PRJna67337,isolate,isolate,Ghosh et al. 2011,Complete,4.42388,54.7927,chromosome:NC_017964.1/CP003555.1; plasmid pWTk445:NC_017965.1/CP003556.1,,2,3312,2012-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/915/GCA_000219915.3_ASM21991v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/915/GCF_000219915.2_ASM21991v3
GCA_002810445.1,Advenella sp. S44,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,S44,SAMN06891246,PRJna385498,artisinal cheese,symbiont,Schmitz-Esser et al. 2018,Scaffold,4.30531,54.3,,NEXS01,17,3861,2017-12-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/810/445/GCA_002810445.1_ASM281044v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/810/445/GCF_002810445.1_ASM281044v1
GCA_002797635.1,Afipia broomeae,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,GAS525,SAMN05880572,PRJna347207,soil warming experiment,terrestrial,na,Contig,7.95116,60.8,,PGEV01,1,7283,2017-11-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/797/635/GCA_002797635.1_ASM279763v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/797/635/GCF_002797635.1_ASM279763v1
GCA_900103365.1,Afipia sp. GAS231,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,GAS231,SAMN05444050,PRJEB16208,DOE isolate,isolate,na, Chromosome,7.58424,62.6,chromosome I:NZ_LT629703.1/LT629703.1,,1,6899,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/365/GCA_900103365.1_IMG-taxon_2690315678_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/365/GCF_900103365.1_IMG-taxon_2690315678_annotated_assembly
GCA_002737415.1,Alcaligenaceae bacterium,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Baikal-G1,SAMN07460788,PRJna396997,lake baikal,freshwater,Cabello-Yeves et al. 2018,Contig,3.37989,53.1,,NSIQ01,50,3182,2017-10-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/737/415/GCA_002737415.1_ASM273741v1,
GCA_003507735.1,Alcaligenaceae bacterium,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA11404,SAMN08020235,PRJna417962,wastewater metagenome,engineered,Parks et al. 2018 nature Biotech GTDB,Contig,2.5824,51.2,,DNUV01,334,2578,2018-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/507/735/GCA_003507735.1_ASM350773v1,
GCA_005788375.1,Alcaligenaceae bacterium,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,F1-20-MAGs207,SAMN11369205,PRJna531348,Lake Fuxian metagenomes,freshwater,na,Contig,0.964334,53.9,,SYDA01,198,0,2019-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/788/375/GCA_005788375.1_ASM578837v1,
GCA_002292845.1,Alcaligenaceae bacterium UBA971,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA971,SAMN06451938,PRJna348753,freshwater metagenome,freshwater,Parks et al. 2017 nature Micro,Scaffold,2.79233,52,,DBBZ01,324,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/292/845/GCA_002292845.1_ASM229284v1,
GCA_002484205.1,Alicycliphilus sp. UBA7619,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA7619,SAMN06454431,PRJna348753,terrestrial metagenome,terrestrial,Parks et al. 2017 nature Micro,Scaffold,4.73887,68.9,,DLJJ01,20,0,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/484/205/GCA_002484205.1_ASM248420v1,
GCA_000171835.1,alpha proteobacterium BAL199,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,BAL199,SAMN02436095,PRJna19281,Moore Foundation,isolate,na,Contig,6.1027,65,,ABHC01,69,5746,2007-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/835/GCA_000171835.1_ASM17183v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/835/GCF_000171835.1_ASM17183v1
GCA_000383115.1,alpha proteobacterium SCGC AAA015-N04,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SCGC AAA015-N04,SAMN02441297,PRJna195640,DOE JGI sequencing,marine,na,Scaffold,1.71387,30.6,,ARSR01,74,0,2013-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/115/GCA_000383115.1_ASM38311v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/115/GCF_000383115.1_ASM38311v1
GCA_000383215.1,alpha proteobacterium SCGC AAA158-M15,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SCGC AAA158-M15,SAMN02440963,PRJna195653,DOE JGI sequencing,marine,na,Scaffold,0.390267,30.5,,ARSW01,29,0,2013-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/215/GCA_000383215.1_ASM38321v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/215/GCF_000383215.1_ASM38321v1
GCA_000384615.1,alpha proteobacterium SCGC AAA536-G10,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SCGC AAA536-G10,SAMN02440508,PRJna195655,DOE JGI sequencing,marine,na,Contig,2.1617,31,,ARQU01,148,0,2013-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/384/615/GCA_000384615.1_ASM38461v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/384/615/GCF_000384615.1_ASM38461v1
GCA_000421325.1,alpha proteobacterium SCGC AAA536-K22,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SCGC AAA536-K22,SAMN02441242,PRJna200604,DOE JGI sequencing,marine,na,Contig,1.99518,31,,ATWQ01,92,0,2013-07-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/325/GCA_000421325.1_ASM42132v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/325/GCF_000421325.1_ASM42132v1
K_DeepCast_250m_m1_099,Alphaproteobacteria,NA,Alphaproteobacteria,,NA,NA,Lake_Tanganyika,freshwater,Tran et al. 2019,,,,,,,,,,
