>2582580538_2582678739,ME16806DRAFT_00697
>GCA_000283515.1_FHOHFAOF_01244,Alpha-ketoglutarate-dependent
>GCA_000283515.1_FHOHFAOF_01245,Vitamin
>GCA_000283515.1_FHOHFAOF_01246,hypothetical
>GCA_000283515.1_FHOHFAOF_01247,Multidrug
>GCA_000293865.2_FJIKGLDI_02368,3-oxoadipate
>GCA_000293865.2_FJIKGLDI_02369,hypothetical
>GCA_000293865.2_FJIKGLDI_02370,4-hydroxy-tetrahydrodipicolinate
>GCA_000293865.2_FJIKGLDI_02371,Alpha-ketoglutarate-dependent
>GCA_000293865.2_FJIKGLDI_02372,hypothetical
>GCA_000293865.2_FJIKGLDI_02373,hypothetical
>GCA_000293865.2_FJIKGLDI_02374,Cocaine
>GCA_000344805.1_EPOAOCAO_01177,hypothetical
>GCA_000344805.1_EPOAOCAO_01178,hypothetical
>GCA_000344805.1_EPOAOCAO_01179,hypothetical
>GCA_000344805.1_EPOAOCAO_01180,Alpha-ketoglutarate-dependent
>GCA_000344805.1_EPOAOCAO_01181,Aldose
>GCA_000344805.1_EPOAOCAO_01182,2-dehydro-3-deoxy-D-gluconate
>GCA_000344805.1_EPOAOCAO_01183,hypothetical
>GCA_000376165.1_EAHFNLCF_00082,F420-dependent
>GCA_000376165.1_EAHFNLCF_00083,N,N-dimethylformamidase
>GCA_000376165.1_EAHFNLCF_00084,Alanine
>GCA_000376165.1_EAHFNLCF_00085,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
>GCA_000376165.1_EAHFNLCF_00086,hypothetical
>GCA_000376165.1_EAHFNLCF_00087,hypothetical
>GCA_000376165.1_EAHFNLCF_00088,Histidine
>GCA_000383215.1_INIHDBPH_00080,hypothetical
>GCA_000383215.1_INIHDBPH_00081,hypothetical
>GCA_000383215.1_INIHDBPH_00082,hypothetical
>GCA_000383215.1_INIHDBPH_00083,Alpha-ketoglutarate-dependent
>GCA_000383215.1_INIHDBPH_00084,Cystathionine
>GCA_000383215.1_INIHDBPH_00085,Putative
>GCA_000383215.1_INIHDBPH_00086,hypothetical
>GCA_000389825.1_JHBIIADF_01705,hypothetical
>GCA_000389825.1_JHBIIADF_01706,hypothetical
>GCA_000389825.1_JHBIIADF_01707,hypothetical
>GCA_000389825.1_JHBIIADF_01708,Alpha-ketoglutarate-dependent
>GCA_000389825.1_JHBIIADF_01709,4-hydroxybenzoate
>GCA_000389825.1_JHBIIADF_01710,Dihydroxy-acid
>GCA_000389825.1_JHBIIADF_01711,PCP
>GCA_000400995.2_PEALAOLI_00381,hypothetical
>GCA_000400995.2_PEALAOLI_00382,hypothetical
>GCA_000400995.2_PEALAOLI_00383,hypothetical
>GCA_000400995.2_PEALAOLI_00384,Alpha-ketoglutarate-dependent
>GCA_000400995.2_PEALAOLI_00385,Pca
>GCA_000400995.2_PEALAOLI_00386,Vitamin
>GCA_000400995.2_PEALAOLI_00387,hypothetical
>GCA_000421325.1_GBJJCEPL_00938,hypothetical
>GCA_000421325.1_GBJJCEPL_00939,ATP-dependent
>GCA_000421325.1_GBJJCEPL_00940,Cystathionine
>GCA_000421325.1_GBJJCEPL_00941,Alpha-ketoglutarate-dependent
>GCA_000421325.1_GBJJCEPL_00942,hypothetical
>GCA_000421325.1_GBJJCEPL_00943,hypothetical
>GCA_000421325.1_GBJJCEPL_00944,hypothetical
>GCA_000423605.1_KFLHLLCO_00150,Chromosome
>GCA_000423605.1_KFLHLLCO_00151,Bicyclomycin
>GCA_000423605.1_KFLHLLCO_00152,hypothetical
>GCA_000423605.1_KFLHLLCO_00153,Alpha-ketoglutarate-dependent
>GCA_000423605.1_KFLHLLCO_00154,hypothetical
>GCA_000423605.1_KFLHLLCO_00155,hypothetical
>GCA_000423605.1_KFLHLLCO_00156,hypothetical
>GCA_000430725.1_DHOLIOJN_06713,Putative
>GCA_000430725.1_DHOLIOJN_06714,hypothetical
>GCA_000430725.1_DHOLIOJN_06715,hypothetical
>GCA_000430725.1_DHOLIOJN_06716,Alpha-ketoglutarate-dependent
>GCA_000430725.1_DHOLIOJN_06717,Outer
>GCA_000430725.1_DHOLIOJN_06718,Electron
>GCA_000430725.1_DHOLIOJN_06719,IS4
>GCA_000445145.1_KCIAILGI_03356,Benzoylformate
>GCA_000445145.1_KCIAILGI_03357,hypothetical
>GCA_000445145.1_KCIAILGI_03358,hypothetical
>GCA_000445145.1_KCIAILGI_03359,Alpha-ketoglutarate-dependent
>GCA_000445145.1_KCIAILGI_03360,Transcriptional
>GCA_000445145.1_KCIAILGI_03361,Narbonolide/10-deoxymethynolide
>GCA_000445145.1_KCIAILGI_03362,hypothetical
>GCA_000472385.1_IHNMIBDF_01887,hypothetical
>GCA_000472385.1_IHNMIBDF_01888,hypothetical
>GCA_000472385.1_IHNMIBDF_01889,hypothetical
>GCA_000472385.1_IHNMIBDF_01890,Alpha-ketoglutarate-dependent
>GCA_000472385.1_IHNMIBDF_01891,2-dehydro-3-deoxy-D-gluconate
>GCA_000472385.1_IHNMIBDF_01892,hypothetical
>GCA_000472385.1_IHNMIBDF_01893,hypothetical
>GCA_000506985.1_JGMIFOJG_00536,HTH-type
>GCA_000506985.1_JGMIFOJG_00537,putative
>GCA_000506985.1_JGMIFOJG_00538,hypothetical
>GCA_000506985.1_JGMIFOJG_00539,Alpha-ketoglutarate-dependent
>GCA_000506985.1_JGMIFOJG_00540,hypothetical
>GCA_000506985.1_JGMIFOJG_00541,Nitrilotriacetate
>GCA_000506985.1_JGMIFOJG_00542,hypothetical
>GCA_000506985.1_JGMIFOJG_03615,hypothetical
>GCA_000506985.1_JGMIFOJG_03616,putative
>GCA_000506985.1_JGMIFOJG_03617,Pca
>GCA_000506985.1_JGMIFOJG_03618,Alpha-ketoglutarate-dependent
>GCA_000506985.1_JGMIFOJG_03619,hypothetical
>GCA_000506985.1_JGMIFOJG_03620,hypothetical
>GCA_000506985.1_JGMIFOJG_03621,Glycine
>GCA_000518365.1_BINKNEBD_02570,L-cysteate
>GCA_000518365.1_BINKNEBD_02571,hypothetical
>GCA_000518365.1_BINKNEBD_02572,hypothetical
>GCA_000518365.1_BINKNEBD_02573,Alpha-ketoglutarate-dependent
>GCA_000518365.1_BINKNEBD_02574,hypothetical
>GCA_000518365.1_BINKNEBD_02575,DEAD-box
>GCA_000518365.1_BINKNEBD_02576,Vitamin
>GCA_000518365.1_BINKNEBD_03285,Aconitate
>GCA_000518365.1_BINKNEBD_03286,hypothetical
>GCA_000518365.1_BINKNEBD_03287,Dimethlysulfonioproprionate
>GCA_000518365.1_BINKNEBD_03288,Alpha-ketoglutarate-dependent
>GCA_000518365.1_BINKNEBD_03289,hypothetical
>GCA_000518365.1_BINKNEBD_03290,Threonine--tRNA
>GCA_000518365.1_BINKNEBD_03291,hypothetical
>GCA_000518365.1_BINKNEBD_05480,6-phosphogluconate
>GCA_000518365.1_BINKNEBD_05481,Transaldolase
>GCA_000518365.1_BINKNEBD_05482,putative
>GCA_000518365.1_BINKNEBD_05483,Alpha-ketoglutarate-dependent
>GCA_000518365.1_BINKNEBD_05484,hypothetical
>GCA_000518365.1_BINKNEBD_05485,hypothetical
>GCA_000518365.1_BINKNEBD_05486,hypothetical
>GCA_000518965.1_HFLOLJCG_02286,Arsenical-resistance
>GCA_000518965.1_HFLOLJCG_02287,NADPH-dependent
>GCA_000518965.1_HFLOLJCG_02288,hypothetical
>GCA_000518965.1_HFLOLJCG_02289,Alpha-ketoglutarate-dependent
>GCA_000518965.1_HFLOLJCG_02290,HTH-type
>GCA_000518965.1_HFLOLJCG_02291,Purine
>GCA_000518965.1_HFLOLJCG_02292,RCS-specific
>GCA_000518965.1_HFLOLJCG_02802,hypothetical
>GCA_000518965.1_HFLOLJCG_02803,putative
>GCA_000518965.1_HFLOLJCG_02804,hypothetical
>GCA_000518965.1_HFLOLJCG_02805,Alpha-ketoglutarate-dependent
>GCA_000518965.1_HFLOLJCG_02806,hypothetical
>GCA_000518965.1_HFLOLJCG_02807,HTH-type
>GCA_000518965.1_HFLOLJCG_02808,hypothetical
>GCA_000620225.1_MPEBHLEL_00566,hypothetical
>GCA_000620225.1_MPEBHLEL_00567,Tyrosine
>GCA_000620225.1_MPEBHLEL_00568,tRNA-dihydrouridine(20/20a)
>GCA_000620225.1_MPEBHLEL_00569,Alpha-ketoglutarate-dependent
>GCA_000620225.1_MPEBHLEL_00570,hypothetical
>GCA_000620225.1_MPEBHLEL_00571,HTH-type
>GCA_000620225.1_MPEBHLEL_00572,HTH-type
>GCA_000745855.1_MBMJONOJ_03247,Ribosomal
>GCA_000745855.1_MBMJONOJ_03248,HTH-type
>GCA_000745855.1_MBMJONOJ_03249,hypothetical
>GCA_000745855.1_MBMJONOJ_03250,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_03251,Arginine
>GCA_000745855.1_MBMJONOJ_03252,putative
>GCA_000745855.1_MBMJONOJ_03253,putative
>GCA_000745855.1_MBMJONOJ_03318,hypothetical
>GCA_000745855.1_MBMJONOJ_03319,(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
>GCA_000745855.1_MBMJONOJ_03320,hypothetical
>GCA_000745855.1_MBMJONOJ_03321,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_03322,hypothetical
>GCA_000745855.1_MBMJONOJ_03323,hypothetical
>GCA_000745855.1_MBMJONOJ_03324,Long-chain-fatty-acid--CoA
>GCA_000745855.1_MBMJONOJ_03337,Lactonase
>GCA_000745855.1_MBMJONOJ_03338,hypothetical
>GCA_000745855.1_MBMJONOJ_03339,hypothetical
>GCA_000745855.1_MBMJONOJ_03340,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_03341,hypothetical
>GCA_000745855.1_MBMJONOJ_03342,hypothetical
>GCA_000745855.1_MBMJONOJ_03343,hypothetical
>GCA_000745855.1_MBMJONOJ_04732,Transcriptional
>GCA_000745855.1_MBMJONOJ_04733,hypothetical
>GCA_000745855.1_MBMJONOJ_04734,hypothetical
>GCA_000745855.1_MBMJONOJ_04735,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_04736,hypothetical
>GCA_000745855.1_MBMJONOJ_04737,hypothetical
>GCA_000745855.1_MBMJONOJ_04738,NADH
>GCA_000745855.1_MBMJONOJ_04762,hypothetical
>GCA_000745855.1_MBMJONOJ_04763,Acetolactate
>GCA_000745855.1_MBMJONOJ_04764,hypothetical
>GCA_000745855.1_MBMJONOJ_04765,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_04766,hypothetical
>GCA_000745855.1_MBMJONOJ_04767,hypothetical
>GCA_000745855.1_MBMJONOJ_04768,Tyrosine
>GCA_000745855.1_MBMJONOJ_05252,hypothetical
>GCA_000745855.1_MBMJONOJ_05253,4-hydroxy-tetrahydrodipicolinate
>GCA_000745855.1_MBMJONOJ_05254,hypothetical
>GCA_000745855.1_MBMJONOJ_05255,Alpha-ketoglutarate-dependent
>GCA_000745855.1_MBMJONOJ_05256,mRNA
>GCA_000745855.1_MBMJONOJ_05257,Antitoxin
>GCA_000745855.1_MBMJONOJ_05258,HTH-type
>GCA_000756045.1_BAPINCJL_04467,hypothetical
>GCA_000756045.1_BAPINCJL_04468,3-phenylpropionate-dihydrodiol/cinnamic
>GCA_000756045.1_BAPINCJL_04469,6-deoxy-6-sulfogluconolactonase
>GCA_000756045.1_BAPINCJL_04470,Alpha-ketoglutarate-dependent
>GCA_000756045.1_BAPINCJL_04471,Octopine
>GCA_000756045.1_BAPINCJL_04472,6-deoxy-6-sulfogluconolactonase
>GCA_000756045.1_BAPINCJL_04473,hypothetical
>GCA_000756045.1_BAPINCJL_04478,Phenylacetaldehyde
>GCA_000756045.1_BAPINCJL_04479,hypothetical
>GCA_000756045.1_BAPINCJL_04480,Glycine
>GCA_000756045.1_BAPINCJL_04481,Alpha-ketoglutarate-dependent
>GCA_000756045.1_BAPINCJL_04482,hypothetical
>GCA_000756045.1_BAPINCJL_04483,hypothetical
>GCA_000756045.1_BAPINCJL_04484,Alpha-ketoglutarate-dependent
>GCA_000756045.1_BAPINCJL_04485,Putative
>GCA_000756045.1_BAPINCJL_04486,3-oxoacyl-[acyl-carrier-protein]
>GCA_000756045.1_BAPINCJL_04487,Alpha-ketoglutarate-dependent
>GCA_000756045.1_BAPINCJL_04488,hypothetical
>GCA_000756045.1_BAPINCJL_04489,Quinone-dependent
>GCA_000756045.1_BAPINCJL_04490,HTH-type
>GCA_000759655.1_OBCEACLD_01649,Regulator
>GCA_000759655.1_OBCEACLD_01650,Putative
>GCA_000759655.1_OBCEACLD_01651,hypothetical
>GCA_000759655.1_OBCEACLD_01652,Alpha-ketoglutarate-dependent
>GCA_000759655.1_OBCEACLD_01653,hypothetical
>GCA_000759655.1_OBCEACLD_01654,hypothetical
>GCA_000759655.1_OBCEACLD_01655,hypothetical
>GCA_000761375.1_IIJDCENE_04880,hypothetical
>GCA_000761375.1_IIJDCENE_04881,Mono(2-hydroxyethyl)
>GCA_000761375.1_IIJDCENE_04882,hypothetical
>GCA_000761375.1_IIJDCENE_04883,Alpha-ketoglutarate-dependent
>GCA_000761375.1_IIJDCENE_04884,hypothetical
>GCA_000761375.1_IIJDCENE_04885,L-threonine
>GCA_000761375.1_IIJDCENE_04886,hypothetical
>GCA_000802225.1_FCAHOLPJ_03482,hypothetical
>GCA_000802225.1_FCAHOLPJ_03483,hypothetical
>GCA_000802225.1_FCAHOLPJ_03484,hypothetical
>GCA_000802225.1_FCAHOLPJ_03485,Alpha-ketoglutarate-dependent
>GCA_000802225.1_FCAHOLPJ_03486,hypothetical
>GCA_000802225.1_FCAHOLPJ_03487,Carboxyvinyl-carboxyphosphonate
>GCA_000802225.1_FCAHOLPJ_03488,hypothetical
>GCA_000831005.1_NHJLONAN_00980,hypothetical
>GCA_000831005.1_NHJLONAN_00981,Monocarboxylate
>GCA_000831005.1_NHJLONAN_00982,Glycerol
>GCA_000831005.1_NHJLONAN_00983,Alpha-ketoglutarate-dependent
>GCA_000831005.1_NHJLONAN_00984,Pectin
>GCA_000831005.1_NHJLONAN_00985,Transposon
>GCA_000831005.1_NHJLONAN_00986,Transposon
>GCA_000935205.1_FNNNANJC_01869,hypothetical
>GCA_000935205.1_FNNNANJC_01870,hypothetical
>GCA_000935205.1_FNNNANJC_01871,hypothetical
>GCA_000935205.1_FNNNANJC_01872,Alpha-ketoglutarate-dependent
>GCA_000935205.1_FNNNANJC_01873,3-oxoacyl-[acyl-carrier-protein]
>GCA_000935205.1_FNNNANJC_01874,3-oxoacyl-[acyl-carrier-protein]
>GCA_000935205.1_FNNNANJC_01875,hypothetical
>GCA_000964365.1_NCMNIJPA_01227,hypothetical
>GCA_000964365.1_NCMNIJPA_01228,IS630
>GCA_000964365.1_NCMNIJPA_01229,hypothetical
>GCA_000964365.1_NCMNIJPA_01230,Alpha-ketoglutarate-dependent
>GCA_000964365.1_NCMNIJPA_01231,Phosphatidyl-myo-inositol
>GCA_000964365.1_NCMNIJPA_01232,4-hydroxymandelate
>GCA_000964365.1_NCMNIJPA_01233,Sorbitol
>GCA_001008165.2_GDEFCNKD_02996,hypothetical
>GCA_001008165.2_GDEFCNKD_02997,hypothetical
>GCA_001008165.2_GDEFCNKD_02998,Mesaconyl-CoA
>GCA_001008165.2_GDEFCNKD_02999,Alpha-ketoglutarate-dependent
>GCA_001008165.2_GDEFCNKD_03000,PTS-dependent
>GCA_001008165.2_GDEFCNKD_03001,PEP-dependent
>GCA_001008165.2_GDEFCNKD_03002,Protein
>GCA_001269365.1_IDJLJAAG_00666,5'-deoxyadenosine
>GCA_001269365.1_IDJLJAAG_00667,Multidrug
>GCA_001269365.1_IDJLJAAG_00668,Multidrug
>GCA_001269365.1_IDJLJAAG_00669,Alpha-ketoglutarate-dependent
>GCA_001269365.1_IDJLJAAG_00670,Aldo-keto
>GCA_001269365.1_IDJLJAAG_00671,hypothetical
>GCA_001269365.1_IDJLJAAG_00672,hypothetical
>GCA_001303445.1_CJKFJBNH_00730,hypothetical
>GCA_001303445.1_CJKFJBNH_00731,hypothetical
>GCA_001303445.1_CJKFJBNH_00732,Tryptophan
>GCA_001303445.1_CJKFJBNH_00733,Alpha-ketoglutarate-dependent
>GCA_001303445.1_CJKFJBNH_00734,3,6-anhydro-alpha-L-galactonate
>GCA_001303445.1_CJKFJBNH_00735,Crotonobetainyl-CoA
>GCA_001303445.1_CJKFJBNH_00736,hypothetical
>GCA_001304425.1_IMPGPHIA_01285,hypothetical
>GCA_001304425.1_IMPGPHIA_01286,Aspartate
>GCA_001304425.1_IMPGPHIA_01287,Hydroxyacylglutathione
>GCA_001304425.1_IMPGPHIA_01288,Alpha-ketoglutarate-dependent
>GCA_001304425.1_IMPGPHIA_01289,hypothetical
>GCA_001304425.1_IMPGPHIA_01290,hypothetical
>GCA_001304425.1_IMPGPHIA_01291,hypothetical
>GCA_001304425.1_IMPGPHIA_01585,Cytochrome
>GCA_001304425.1_IMPGPHIA_01586,Alkyl
>GCA_001304425.1_IMPGPHIA_01587,Nitronate
>GCA_001304425.1_IMPGPHIA_01588,Alpha-ketoglutarate-dependent
>GCA_001304425.1_IMPGPHIA_01589,hypothetical
>GCA_001304425.1_IMPGPHIA_01590,putative
>GCA_001304425.1_IMPGPHIA_01591,hypothetical
>GCA_001424345.1_IEJIMFKO_04141,putative
>GCA_001424345.1_IEJIMFKO_04142,putative
>GCA_001424345.1_IEJIMFKO_04143,HTH-type
>GCA_001424345.1_IEJIMFKO_04144,Alpha-ketoglutarate-dependent
>GCA_001424345.1_IEJIMFKO_04145,hypothetical
>GCA_001424345.1_IEJIMFKO_04146,Glyoxylate/hydroxypyruvate
>GCA_001424345.1_IEJIMFKO_04147,Alcohol
>GCA_001424545.1_MECLOPCJ_00942,hypothetical
>GCA_001424545.1_MECLOPCJ_00943,hypothetical
>GCA_001424545.1_MECLOPCJ_00944,putative
>GCA_001424545.1_MECLOPCJ_00945,Alpha-ketoglutarate-dependent
>GCA_001424545.1_MECLOPCJ_00946,(S)-mandelate
>GCA_001424545.1_MECLOPCJ_00947,hypothetical
>GCA_001424545.1_MECLOPCJ_00948,hypothetical
>GCA_001424545.1_MECLOPCJ_01753,2-hydroxy-3-oxopropionate
>GCA_001424545.1_MECLOPCJ_01756,HTH-type
>GCA_001424545.1_MECLOPCJ_01757,hypothetical
>GCA_001424545.1_MECLOPCJ_01758,Alpha-ketoglutarate-dependent
>GCA_001424545.1_MECLOPCJ_01759,hypothetical
>GCA_001424545.1_MECLOPCJ_01760,Putative
>GCA_001424545.1_MECLOPCJ_01761,Adaptive-response
>GCA_001426825.1_EIMLPIOP_02919,Atrazine
>GCA_001426825.1_EIMLPIOP_02920,hypothetical
>GCA_001426825.1_EIMLPIOP_02921,hypothetical
>GCA_001426825.1_EIMLPIOP_02922,Alpha-ketoglutarate-dependent
>GCA_001426825.1_EIMLPIOP_02923,Putative
>GCA_001426825.1_EIMLPIOP_02924,Vitamin
>GCA_001426825.1_EIMLPIOP_02925,hypothetical
>GCA_001426825.1_EIMLPIOP_03042,3-oxoacyl-[acyl-carrier-protein]
>GCA_001426825.1_EIMLPIOP_03043,2-epi-5-epi-valiolone
>GCA_001426825.1_EIMLPIOP_03044,Cytochrome
>GCA_001426825.1_EIMLPIOP_03045,Alpha-ketoglutarate-dependent
>GCA_001426825.1_EIMLPIOP_03046,Aldo-keto
>GCA_001426825.1_EIMLPIOP_03047,Virulence
>GCA_001426825.1_EIMLPIOP_03048,hypothetical
>GCA_001426825.1_EIMLPIOP_04559,Para-nitrobenzyl
>GCA_001426825.1_EIMLPIOP_04560,NAD/NADP-dependent
>GCA_001426825.1_EIMLPIOP_04561,Vitamin
>GCA_001426825.1_EIMLPIOP_04562,Alpha-ketoglutarate-dependent
>GCA_001426825.1_EIMLPIOP_04563,hypothetical
>GCA_001426825.1_EIMLPIOP_04564,Maleamate
>GCA_001426825.1_EIMLPIOP_04565,putative
>GCA_001427865.1_FIHOGIBB_03428,hypothetical
>GCA_001427865.1_FIHOGIBB_03429,hypothetical
>GCA_001427865.1_FIHOGIBB_03430,Mesaconyl-CoA
>GCA_001427865.1_FIHOGIBB_03431,Alpha-ketoglutarate-dependent
>GCA_001427865.1_FIHOGIBB_03432,PTS-dependent
>GCA_001427865.1_FIHOGIBB_03433,PEP-dependent
>GCA_001427865.1_FIHOGIBB_03434,Protein
>GCA_001464375.1_BCHJAGJC_03625,Alanine
>GCA_001464375.1_BCHJAGJC_03626,putative
>GCA_001464375.1_BCHJAGJC_03627,putative
>GCA_001464375.1_BCHJAGJC_03628,Alpha-ketoglutarate-dependent
>GCA_001464375.1_BCHJAGJC_03629,hypothetical
>GCA_001464375.1_BCHJAGJC_03630,Segregation
>GCA_001464375.1_BCHJAGJC_03631,Segregation
>GCA_001464655.1_OOAALLJB_03303,4-hydroxymandelate
>GCA_001464655.1_OOAALLJB_03304,hypothetical
>GCA_001464655.1_OOAALLJB_03305,PKHD-type
>GCA_001464655.1_OOAALLJB_03306,Alpha-ketoglutarate-dependent
>GCA_001464655.1_OOAALLJB_03307,Gluconate
>GCA_001464655.1_OOAALLJB_03308,Dimethyl
>GCA_001464655.1_OOAALLJB_03309,Thiol:disulfide
>GCA_001464755.1_MNJBLDKI_01811,Cyclopentanol
>GCA_001464755.1_MNJBLDKI_01812,hypothetical
>GCA_001464755.1_MNJBLDKI_01813,hypothetical
>GCA_001464755.1_MNJBLDKI_01814,Alpha-ketoglutarate-dependent
>GCA_001464755.1_MNJBLDKI_01815,5-keto-4-deoxy-D-glucarate
>GCA_001464755.1_MNJBLDKI_01816,putative
>GCA_001464755.1_MNJBLDKI_01817,Pyrimidine
>GCA_001464755.1_MNJBLDKI_03012,Lipopolysaccharide
>GCA_001464755.1_MNJBLDKI_03013,Long-chain-fatty-acid--CoA
>GCA_001464755.1_MNJBLDKI_03014,hypothetical
>GCA_001464755.1_MNJBLDKI_03015,Alpha-ketoglutarate-dependent
>GCA_001464755.1_MNJBLDKI_03016,Alpha-ketoglutarate-dependent
>GCA_001464755.1_MNJBLDKI_03017,2-(hydroxymethyl)glutarate
>GCA_001464755.1_MNJBLDKI_03018,Citrate
>GCA_001464755.1_MNJBLDKI_03019,hypothetical
>GCA_001464755.1_MNJBLDKI_04610,hypothetical
>GCA_001464755.1_MNJBLDKI_04611,5-(hydroxymethyl)furfural
>GCA_001464755.1_MNJBLDKI_04612,hypothetical
>GCA_001464755.1_MNJBLDKI_04613,Alpha-ketoglutarate-dependent
>GCA_001464755.1_MNJBLDKI_04614,hypothetical
>GCA_001464755.1_MNJBLDKI_04615,DNA
>GCA_001464755.1_MNJBLDKI_04616,hypothetical
>GCA_001464765.1_FEJOBNDM_00601,hypothetical
>GCA_001464765.1_FEJOBNDM_00602,hypothetical
>GCA_001464765.1_FEJOBNDM_00603,hypothetical
>GCA_001464765.1_FEJOBNDM_00604,Alpha-ketoglutarate-dependent
>GCA_001464765.1_FEJOBNDM_00605,hypothetical
>GCA_001464765.1_FEJOBNDM_00606,hypothetical
>GCA_001464765.1_FEJOBNDM_00607,hypothetical
>GCA_001464765.1_FEJOBNDM_00891,hypothetical
>GCA_001464765.1_FEJOBNDM_00892,hypothetical
>GCA_001464765.1_FEJOBNDM_00893,Xylulose
>GCA_001464765.1_FEJOBNDM_00894,Alpha-ketoglutarate-dependent
>GCA_001464765.1_FEJOBNDM_00895,hypothetical
>GCA_001464765.1_FEJOBNDM_00896,hypothetical
>GCA_001464765.1_FEJOBNDM_00897,hypothetical
>GCA_001464815.1_ONFGAKJC_01099,L-methionine
>GCA_001464815.1_ONFGAKJC_01100,Ubiquinone/menaquinone
>GCA_001464815.1_ONFGAKJC_01101,(S)-mandelate
