accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_000011365.1,Bradyrhizobium diazoefficiens USDA 110,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,USDA110,SAMD00061083,PRJna17,isolate,plant_associated,na,Complete,9.10583,64.1,chromosome:NC_004463.1/BA000040.2,,1,8317,2002-12-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/365/GCA_000011365.1_ASM1136v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/365/GCF_000011365.1_ASM1136v1
GCA_000013645.1,Paraburkholderia xenovorans LB400,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,LB400,SAMN02598451,PRJna254,isolate,terrestrial,Chain et al. 2006,Complete,9.73114,62.6336,chromosome 1:NC_007951.1/CP000270.1; chromosome 2:NC_007952.1/CP000271.1; chromosome 3:NC_007953.1/CP000272.1,,3,8421,2006-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/645/GCF_000013645.1_ASM1364v1
GCA_000014085.1,Burkholderia cenocepacia AU 1054,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AU 1054,SAMN02598326,PRJna13919,DOE JGI sequencing,human_associated,na,Complete,7.27912,66.9164,chromosome 1:NC_008060.1/CP000378.1; chromosome 2:NC_008061.1/CP000379.1; chromosome 3:NC_008062.1/CP000380.1,,3,6469,2006-06-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/085/GCA_000014085.1_ASM1408v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/085/GCF_000014085.1_ASM1408v1
GCA_000014985.1,Mycobacterium avium 104,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,104,SAMN02603981,PRJna88,AIDS patients,human_associated,na,Complete,5.47549,69,chromosome:NC_008595.1/CP000479.1,,1,4894,2006-11-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/985/GCA_000014985.1_ASM1498v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/985/GCF_000014985.1_ASM1498v1
GCA_000015165.1,Bradyrhizobium sp. BTAi1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,BTAi1,SAMN02598359,PRJna16137,DOE JGI sequencing,plant_associated,Giraud et al. 2007,Complete,8.49351,64.7868,chromosome:NC_009485.1/CP000494.1; plasmid pBBta01:NC_009475.1/CP000495.1,,2,7496,2007-05-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/165/GCA_000015165.1_ASM1516v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/165/GCF_000015165.1_ASM1516v1
GCA_000019505.1,Burkholderia cenocepacia MC0-3,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MC0-3,SAMN02598404,PRJna17929,DOE JGI sequencing,terrestrial,na,Complete,7.97139,66.5829,chromosome 1:NC_010508.1/CP000958.1; chromosome 2:NC_010515.1/CP000959.1; chromosome 3:NC_010512.1/CP000960.1,,3,7102,2008-03-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/505/GCF_000019505.1_ASM1950v1
GCA_000023345.1,Variovorax paradoxus S110,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,S110,SAMN02598472,PRJna30453,DOE JGI Isolate,isolate,na,Complete,6.755,67.4998,chromosome 1:NC_012791.1/CP001635.1; chromosome 2:NC_012792.1/CP001636.1,,2,6247,2009-06-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/345/GCA_000023345.1_ASM2334v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/345/GCF_000023345.1_ASM2334v1
GCA_000026145.1,Bradyrhizobium sp. ORS 278,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,ORS278,SAMEA3138227,PRJna19575,isolate,plant_associated,Giraud et al. 2007,Complete,7.45659,65.5,chromosome:NC_009445.1/CU234118.1,,1,6589,2007-05-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/145/GCA_000026145.1_ASM2614v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/145/GCF_000026145.1_ASM2614v1
GCA_000147835.3,Sphingobium chlorophenolicum L-1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,L-1,SAMN00016829,PRJna50015,isolate,isolate,na,Complete,4.57322,63.8346,chromosome 1:NC_015593.1/CP002798.1; chromosome 2:NC_015594.1/CP002799.1; plasmid pSPHCH01:NC_015595.1/CP002800.1,,3,4029,2011-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/835/GCF_000147835.2_ASM14783v3
GCA_000152565.1,Burkholderia cenocepacia PC184,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,PC184,SAMN02595212,PRJna16169,Broad Institute,human_associated,na,Scaffold,7.03517,66.5,,AAKX01,3,5535,2006-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/565/GCA_000152565.1_ASM15256v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/565/GCF_000152565.1_ASM15256v1
GCA_000152585.1,Burkholderia dolosa AU0158,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AU0158,SAMN02595213,PRJna16168,Broad Institute,isolate,na,Scaffold,6.4204,66.3,,AAKY01,3,5102,2006-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/585/GCA_000152585.1_ASM15258v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/585/GCF_000152585.1_ASM15258v1
GCA_000170835.1,Marinobacter algicola DG893,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,DG893,SAMN02436149,PRJna19321,dinoflagellate symbiont,symbiont,Green et al. 2006,Contig,4.413,57,,ABCP01,104,3967,2007-06-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/835/GCA_000170835.1_ASM17083v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/835/GCF_000170835.1_ASM17083v1
GCA_000171835.1,alpha proteobacterium BAL199,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,BAL199,SAMN02436095,PRJna19281,Moore Foundation,isolate,na,Contig,6.1027,65,,ABHC01,69,5746,2007-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/835/GCA_000171835.1_ASM17183v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/835/GCF_000171835.1_ASM17183v1
GCA_000174035.1,Mycobacterium avium subsp. avium ATCC 25291,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,ATCC 25291,SAMN02470543,PRJna30909,hen liver ,animal_associated,na,Contig,4.85799,69.2,,ACFI01,258,4293,2009-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/035/GCA_000174035.1_ASM17403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/035/GCF_000174035.1_ASM17403v1
GCA_000178415.2,Burkholderia sp. Ch1-1,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Ch1-1,SAMN02256533,PRJna40819,isolate,isolate,na,Scaffold,8.74353,62.4,,ADNR02,4,7587,2010-05-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/415/GCA_000178415.2_ASM17841v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/415/GCF_000178415.2_ASM17841v2
GCA_000193515.2,Bordetella pertussis B0558,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B0558,SAMN02470861,PRJna46269,pathogen,human_associated,Bart study,Contig,3.81212,68,,ADKR01,448,3348,2010-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/515/GCA_000193515.2_ASM19351v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/515/GCF_000193515.1_ASM19351v2
GCA_000193535.2,Bordetella pertussis B1193,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B1193,SAMN02470862,PRJna46271,pathogen,human_associated,Bart study,Contig,3.81394,68,,ADKS01,404,3347,2010-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/535/GCA_000193535.2_ASM19353v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/535/GCF_000193535.1_ASM19353v2
GCA_000193555.2,Bordetella pertussis B1831,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B1831,SAMN02470859,PRJna46273,pathogen,human_associated,Bart study,Contig,3.81974,68,,ADKT01,627,3318,2010-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/555/GCA_000193555.2_ASM19355v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/555/GCF_000193555.1_ASM19355v2
GCA_000193575.2,Bordetella pertussis B1834,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B1834,SAMN02470860,PRJna46275,pathogen,human_associated,Bart study,Contig,3.79262,68,,ADKU01,371,3347,2010-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/575/GCA_000193575.2_ASM19357v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/575/GCF_000193575.1_ASM19357v2
GCA_000193595.3,Bordetella pertussis B1917,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B1917,SAMN02470863,PRJna46277,pathogen,human_associated,Bart study,Complete,4.10219,67.7,chromosome:NZ_CP009751.1/CP009751.1,,1,3620,2014-11-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/595/GCA_000193595.3_ASM19359v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/595/GCF_000193595.2_ASM19359v3
GCA_000193615.3,Bordetella pertussis B1920,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B1920,SAMN02470864,PRJna46279,pathogen,human_associated,Bart study,Complete,4.11463,67.7,chromosome:NZ_CP009752.1/CP009752.1,,1,3598,2014-11-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/615/GCA_000193615.3_ASM19361v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/615/GCF_000193615.2_ASM19361v3
GCA_000195715.1,Bordetella pertussis Tohama I,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Tohama I,SAMEA1705933,PRJna26,bronchitis disease seq,human_associated,Parkhill et al. 2003,Complete,4.08619,67.7,chromosome:NC_002929.2/BX470248.1,,1,3425,2001-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1
GCA_000203875.1,Cupriavidus pinatubonensis JMP134,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,JMP134,SAMN02598255,PRJna10646,DOE JGI sequencing,isolate,na,Complete,7.25529,64.4539,chromosome 1:NC_007347.1/CP000090.1; chromosome 2:NC_007348.1/CP000091.1; plasmid Plasmid1:NC_007337.1/CP000093.1; plasmid megaplasmid:NC_007336.1/CP000092.1,,4,6492,2005-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/875/GCF_000203875.1_ASM20387v1
GCA_000203955.1,Burkholderia cenocepacia HI2424,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,HI2424,SAMN00113327,PRJna13918,isolate,terrestrial,LiPuma et al. 2002,Complete,7.70284,66.8004,chromosome 1:NC_008542.1/CP000458.1; chromosome 2:NC_008543.1/CP000459.1; chromosome 3:NC_008544.1/CP000460.1; plasmid Plasmid1:NC_008545.1/CP000461.1,,4,6943,2006-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/955/GCA_000203955.1_ASM20395v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/955/GCF_000203955.1_ASM20395v1
GCA_000212975.1,Bordetella pertussis CS,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,CS,SAMN02603647,PRJna66287,vaccine strain,isolate,Zhang et al. 2011,Complete,4.12424,67.7,chromosome:NC_017223.1/CP002695.1,,1,3634,2011-05-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/975/GCA_000212975.1_ASM21297v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/975/GCF_000212975.1_ASM21297v1
GCA_000215815.2,Mycobacterium avium subsp. paratuberculosis CLIJ644,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,CLIJ644,SAMN00222102,PRJna66637,isolate,isolate,na,Contig,4.70798,69.2,,AFNR01,636,4321,2011-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/815/GCA_000215815.2_ASM21581v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/815/GCF_000215815.1_ASM21581v2
GCA_000215835.2,Mycobacterium avium subsp. paratuberculosis CLIJ361,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,CLIJ361,SAMN00222103,PRJna66635,isolate,isolate,na,Contig,4.61239,69,,AFNS01,1147,4263,2011-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/835/GCA_000215835.2_ASM21583v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/835/GCF_000215835.1_ASM21583v2
GCA_000216015.2,Mycobacterium avium subsp. paratuberculosis CLIJ623,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,CLIJ623,SAMN00222100,PRJna66639,isolate,isolate,na,Contig,4.52332,69,,AFHX01,915,4205,2011-06-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/216/015/GCA_000216015.2_ASM21601v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/015/GCF_000216015.1_ASM21601v2
GCA_000218035.2,Mycobacterium avium subsp. paratuberculosis Pt139,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt139,SAMN00222093,PRJna66641,isolate,isolate,na,Contig,4.64733,69.1,,AFPC01,752,4247,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/035/GCA_000218035.2_ASM21803v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/035/GCF_000218035.1_ASM21803v2
GCA_000218055.2,Mycobacterium avium subsp. paratuberculosis Pt144,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt144,SAMN00222094,PRJna66643,isolate,isolate,na,Contig,4.58292,69,,AFPD01,838,4265,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/055/GCA_000218055.2_ASM21805v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/055/GCF_000218055.1_ASM21805v2
GCA_000218075.2,Mycobacterium avium subsp. paratuberculosis Pt145,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt145,SAMN00222095,PRJna66645,isolate,isolate,na,Contig,4.56886,69,,AFPE01,916,4231,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/075/GCA_000218075.2_ASM21807v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/075/GCF_000218075.1_ASM21807v2
GCA_000218095.2,Mycobacterium avium subsp. paratuberculosis Pt146,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt146,SAMN00222096,PRJna66647,isolate,isolate,na,Contig,4.58255,69,,AFPF01,955,4225,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/095/GCA_000218095.2_ASM21809v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/095/GCF_000218095.1_ASM21809v2
GCA_000218115.2,Mycobacterium avium subsp. paratuberculosis Pt154,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt154,SAMN00222097,PRJna66649,isolate,isolate,na,Contig,4.50007,68.9,,AFPG01,1077,4177,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/115/GCA_000218115.2_ASM21811v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/115/GCF_000218115.1_ASM21811v2
GCA_000218135.2,Mycobacterium avium subsp. paratuberculosis Pt155,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt155,SAMN00222098,PRJna66651,isolate,isolate,na,Contig,4.56078,69,,AFPH01,957,4246,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/135/GCA_000218135.2_ASM21813v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/135/GCF_000218135.1_ASM21813v2
GCA_000218155.2,Mycobacterium avium subsp. paratuberculosis Pt164,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Pt164,SAMN00222099,PRJna66653,isolate,isolate,na,Contig,4.66971,69.2,,AFPI01,592,4278,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/155/GCA_000218155.2_ASM21815v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/155/GCF_000218155.1_ASM21815v2
GCA_000219085.2,Mycobacterium avium subsp. paratuberculosis S397,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,S397,SAMN02470597,PRJna66075,isolated from a sheep,animal_associated,Bannatine et al. 2012,Contig,4.81371,69.3,,AFIF01,176,4361,2011-06-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/085/GCA_000219085.2_ASM21908v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/085/GCF_000219085.1_ASM21908v2
GCA_000219915.3,Advenella kashmirensis WT001,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,WT001,SAMN01940915,PRJna67337,isolate,isolate,Ghosh et al. 2011,Complete,4.42388,54.7927,chromosome:NC_017964.1/CP003555.1; plasmid pWTk445:NC_017965.1/CP003556.1,,2,3312,2012-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/915/GCA_000219915.3_ASM21991v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/915/GCF_000219915.2_ASM21991v3
GCA_000222105.4,Mycobacterium colombiense CECT 3035,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,CECT 3035,SAMN00622208,PRJna67689,type strain,human_associated,Gonazlez-Perez et al. 2011,Contig,5.57956,68.1,,AFVW02,17,5163,2011-07-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/105/GCA_000222105.4_ASM22210v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/105/GCF_000222105.3_ASM22210v4
GCA_000224765.2,SAR324 cluster bacterium JCVI-SC AAA005,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,JCVI-SC AAA005,SAMN00699809,PRJna71321,scripps pier,marine,na,Contig,4.25598,43.3,,AGAU01,646,0,2011-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/765/GCA_000224765.2_sar324_mda,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/765/GCF_000224765.1_sar324_mda
GCA_000239755.2,Bradyrhizobium sp. ORS 285,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,ORS285,SAMEA3138405,PRJna65549,isolate,isolate,Mornico et al. 2011,Contig,7.60225,65.2,,CAFH01,301,6566,2011-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/755/GCA_000239755.2_ASM23975v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/755/GCF_000239755.1_ASM23975v2
GCA_000239775.2,Bradyrhizobium sp. ORS 375,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,ORS375,SAMEA3138406,PRJna72429,isolate,isolate,Mornico et al. 2011,Scaffold,7.85947,65.5,,CAFI01,497,6896,2011-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/775/GCA_000239775.2_ASM23977v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/775/GCF_000239775.1_ASM23977v2
GCA_000239795.2,Bradyrhizobium sp. STM 3809,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,STM 3809,SAMEA2272567,PRJEA72433,isolate,isolate,Mornico et al. 2011,Contig,7.31175,66.2,,CAFJ01,803,6558,2011-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/795/GCA_000239795.2_ASM23979v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/795/GCF_000239795.1_ASM23979v2
GCA_000239815.2,Bradyrhizobium sp. STM 3843,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,STM 3843,SAMEA2272016,PRJEA72431,isolate,isolate,Mornico et al. 2011,Scaffold,8.43479,63.6,,CAFK01,350,7493,2011-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/815/GCA_000239815.2_ASM23981v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/815/GCF_000239815.1_ASM23981v2
GCA_000240345.2,Mycobacterium avium subsp. paratuberculosis JQ5,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,JQ5,SAMN02472065,PRJna68575,arabian camels,animal_associated,Ghosh et al. 2012,Contig,4.73547,69.1,,AHAZ01,176,3608,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/345/GCA_000240345.2_ASM24034v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/345/GCF_000240345.1_ASM24034v2
GCA_000240365.2,Mycobacterium avium subsp. paratuberculosis JQ6,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,JQ6,SAMN02472066,PRJna76615,arabian camels,animal_associated,Ghosh et al. 2012,Contig,4.69701,69,,AHBA01,176,0,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/365/GCA_000240365.2_ASM24036v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/365/GCF_000240365.1_ASM24036v2
GCA_000240385.2,Mycobacterium avium subsp. paratuberculosis 1281,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,1281,SAMN02472017,PRJna72211,oryx's lymph node,animal_associated,Hsu et al. 2011,Contig,4.75509,69.3,,AGAK01,1030,4369,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/385/GCA_000240385.2_ASM24038v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/385/GCF_000240385.1_ASM24038v2
GCA_000240405.2,Mycobacterium avium subsp. paratuberculosis JTC 1285,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,JTC 1285,SAMN02472019,PRJna72213,goat feces,animal_associated,Hsu et al. 2011,Contig,4.74516,69.3,,AGAL01,1115,4404,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/405/GCA_000240405.2_ASM24040v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/405/GCF_000240405.1_ASM24040v2
